temperature_C,heat_flow_mW
238.51,0.3068
238.64,0.3177
238.78,0.3019
238.92,0.3175
239.06,0.3213
239.19,0.3294
239.33,0.3467
239.47,0.3004
239.61,0.3437
239.74,0.2805
239.88,0.2960
240.02,0.3280
240.16,0.3592
240.30,0.3062
240.43,0.3083
240.57,0.3242
240.71,0.3248
240.85,0.3110
240.98,0.3106
241.12,0.2920
241.26,0.3286
241.40,0.3219
241.53,0.2914
241.67,0.3131
241.81,0.3391
241.95,0.3454
242.08,0.3472
242.22,0.3288
242.36,0.3367
242.50,0.3180
242.63,0.3016
242.77,0.3367
242.91,0.2876
243.05,0.3174
243.18,0.3209
243.32,0.3241
243.46,0.3065
243.60,0.3171
243.73,0.3494
243.87,0.3464
244.01,0.3355
244.15,0.3116
244.28,0.3367
244.42,0.3306
244.56,0.3439
244.70,0.2902
244.83,0.3009
244.97,0.3294
245.11,0.3124
245.25,0.2944
245.39,0.3355
245.52,0.3279
245.66,0.2809
245.80,0.3404
245.94,0.3338
246.07,0.3171
246.21,0.3206
246.35,0.3468
246.49,0.3111
246.62,0.3224
246.76,0.3392
246.90,0.3316
247.04,0.3401
247.17,0.3498
247.31,0.3099
247.45,0.3370
247.59,0.3284
247.72,0.3385
247.86,0.3410
248.00,0.2978
248.14,0.2995
248.27,0.3494
248.41,0.3265
248.55,0.3264
248.69,0.3226
248.82,0.3392
248.96,0.3305
249.10,0.3175
249.24,0.3737
249.37,0.3168
249.51,0.3468
249.65,0.3309
249.79,0.3296
249.92,0.3520
250.06,0.3164
250.20,0.3412
250.34,0.3552
250.48,0.3237
250.61,0.3029
250.75,0.3181
250.89,0.3315
251.03,0.3208
251.16,0.3396
251.30,0.2976
251.44,0.2956
251.58,0.3080
251.71,0.3341
251.85,0.3302
251.99,0.3235
252.13,0.3067
252.26,0.3136
252.40,0.3331
252.54,0.3373
252.68,0.3285
252.81,0.3390
252.95,0.2996
253.09,0.3423
253.23,0.3055
253.36,0.3320
253.50,0.2888
253.64,0.3406
253.78,0.3050
253.91,0.3556
254.05,0.3207
254.19,0.3517
254.33,0.3565
254.46,0.2910
254.60,0.3443
254.74,0.3075
254.88,0.3251
255.02,0.2933
255.15,0.3502
255.29,0.3646
255.43,0.3388
255.57,0.3195
255.70,0.3237
255.84,0.3164
255.98,0.2932
256.12,0.3095
256.25,0.3407
256.39,0.3140
256.53,0.3132
256.67,0.2918
256.80,0.3254
256.94,0.3297
257.08,0.2622
257.22,0.3220
257.35,0.3148
257.49,0.3159
257.63,0.3025
257.77,0.3029
257.90,0.2963
258.04,0.2924
258.18,0.3085
258.32,0.2804
258.45,0.2887
258.59,0.3260
258.73,0.3011
258.87,0.2901
259.00,0.3310
259.14,0.2944
259.28,0.2727
259.42,0.2850
259.55,0.2917
259.69,0.2808
259.83,0.2819
259.97,0.2593
260.11,0.2893
260.24,0.2315
260.38,0.2520
260.52,0.2408
260.66,0.2649
260.79,0.2755
260.93,0.2655
261.07,0.2342
261.21,0.2628
261.34,0.2235
261.48,0.2128
261.62,0.2168
261.76,0.2206
261.89,0.1837
262.03,0.2024
262.17,0.1696
262.31,0.1581
262.44,0.1633
262.58,0.1157
262.72,0.1140
262.86,0.1017
262.99,0.0863
263.13,0.1379
263.27,0.1173
263.41,0.1007
263.54,0.0778
263.68,0.0732
263.82,0.0638
263.96,0.0246
264.09,0.0325
264.23,-0.0299
264.37,0.0268
264.51,-0.0099
264.64,-0.0318
264.78,-0.0526
264.92,-0.1021
265.06,-0.0757
265.20,-0.0675
265.33,-0.0868
265.47,-0.1360
265.61,-0.1107
265.75,-0.1051
265.88,-0.1293
266.02,-0.1326
266.16,-0.1571
266.30,-0.1647
266.43,-0.2202
266.57,-0.2218
266.71,-0.2584
266.85,-0.2136
266.98,-0.2358
267.12,-0.2466
267.26,-0.2732
267.40,-0.2638
267.53,-0.3000
267.67,-0.3000
267.81,-0.3321
267.95,-0.3115
268.08,-0.3375
268.22,-0.3166
268.36,-0.3069
268.50,-0.3672
268.63,-0.3600
268.77,-0.3469
268.91,-0.3686
269.05,-0.3561
269.18,-0.3663
269.32,-0.3962
269.46,-0.3662
269.60,-0.4087
269.73,-0.3323
269.87,-0.3832
270.01,-0.3943
270.15,-0.4054
270.29,-0.3950
270.42,-0.3900
270.56,-0.3999
270.70,-0.4556
270.84,-0.4359
270.97,-0.4152
271.11,-0.4215
271.25,-0.4180
271.39,-0.4467
271.52,-0.4599
271.66,-0.4161
271.80,-0.4098
271.94,-0.4677
272.07,-0.4110
272.21,-0.4171
272.35,-0.4338
272.49,-0.4266
272.62,-0.4521
272.76,-0.4378
272.90,-0.4450
273.04,-0.4809
273.17,-0.4656
273.31,-0.4431
273.45,-0.4328
273.59,-0.4266
273.72,-0.4475
273.86,-0.4432
274.00,-0.4780
274.14,-0.4604
274.27,-0.4910
274.41,-0.4069
274.55,-0.4842
274.69,-0.4537
274.82,-0.4316
274.96,-0.4198
275.10,-0.4729
275.24,-0.4561
275.38,-0.4500
275.51,-0.4405
275.65,-0.4637
275.79,-0.4534
275.93,-0.4425
276.06,-0.4794
276.20,-0.4101
276.34,-0.4236
276.48,-0.4800
276.61,-0.4535
276.75,-0.4570
276.89,-0.4120
277.03,-0.4332
277.16,-0.4523
277.30,-0.4447
277.44,-0.4502
277.58,-0.4460
277.71,-0.4265
277.85,-0.4289
277.99,-0.4776
278.13,-0.4302
278.26,-0.4725
278.40,-0.4391
278.54,-0.4762
278.68,-0.4607
278.81,-0.4213
278.95,-0.4560
279.09,-0.4318
279.23,-0.4384
279.36,-0.4638
279.50,-0.4872
279.64,-0.4420
279.78,-0.4354
279.91,-0.4468
280.05,-0.4436
280.19,-0.4576
280.33,-0.4382
280.47,-0.4753
280.60,-0.4279
280.74,-0.4273
280.88,-0.4445
281.02,-0.4504
281.15,-0.4623
281.29,-0.4590
281.43,-0.4546
281.57,-0.4398
281.70,-0.4379
281.84,-0.4223
281.98,-0.4727
282.12,-0.4589
282.25,-0.4355
282.39,-0.4697
282.53,-0.4312
282.67,-0.4345
282.80,-0.4736
282.94,-0.4222
283.08,-0.4198
283.22,-0.4295
283.35,-0.5056
283.49,-0.4448
283.63,-0.4168
283.77,-0.4294
283.90,-0.4607
284.04,-0.4478
284.18,-0.4315
284.32,-0.3893
284.45,-0.4346
284.59,-0.4524
284.73,-0.4606
284.87,-0.4227
285.01,-0.4212
285.14,-0.4538
285.28,-0.4206
285.42,-0.4310
285.56,-0.4041
285.69,-0.4338
285.83,-0.4226
285.97,-0.4639
286.11,-0.4392
286.24,-0.4543
286.38,-0.4413
286.52,-0.4331
286.66,-0.4343
286.79,-0.4117
286.93,-0.4431
287.07,-0.4356
287.21,-0.4445
287.34,-0.4471
287.48,-0.4075
287.62,-0.4488
287.76,-0.4772
287.89,-0.4646
288.03,-0.4128
288.17,-0.3998
288.31,-0.4253
288.44,-0.3961
288.58,-0.4349
288.72,-0.4498
288.86,-0.4406
288.99,-0.4298
289.13,-0.3992
289.27,-0.4036
289.41,-0.4463
289.54,-0.4410
289.68,-0.4372
289.82,-0.4364
289.96,-0.4333
290.10,-0.4508
290.23,-0.4400
290.37,-0.4151
290.51,-0.4536
290.65,-0.4314
290.78,-0.4496
290.92,-0.4705
291.06,-0.4410
291.20,-0.3816
291.33,-0.4422
291.47,-0.4325
291.61,-0.4351
291.75,-0.4212
291.88,-0.4624
292.02,-0.4192
292.16,-0.4245
292.30,-0.4356
292.43,-0.4179
292.57,-0.4391
292.71,-0.4475
292.85,-0.4475
292.98,-0.4496
293.12,-0.4180
293.26,-0.4044
293.40,-0.4521
293.53,-0.4427
293.67,-0.4386
293.81,-0.3808
293.95,-0.4208
294.08,-0.4165
294.22,-0.4469
294.36,-0.4141
294.50,-0.4452
294.63,-0.4449
294.77,-0.4722
294.91,-0.4040
295.05,-0.4152
295.19,-0.4224
295.32,-0.4030
295.46,-0.4491
295.60,-0.4132
295.74,-0.4382
295.87,-0.4058
296.01,-0.3963
296.15,-0.4377
296.29,-0.4376
296.42,-0.4271
296.56,-0.4209
296.70,-0.4199
296.84,-0.4290
296.97,-0.4224
297.11,-0.3766
297.25,-0.4287
297.39,-0.4356
297.52,-0.4202
297.66,-0.4230
297.80,-0.4450
297.94,-0.4300
298.07,-0.4210
298.21,-0.4142
298.35,-0.4239
298.49,-0.4204
298.62,-0.4296
298.76,-0.4297
298.90,-0.4260
299.04,-0.4452
299.17,-0.4664
299.31,-0.4498
299.45,-0.4482
299.59,-0.3985
299.72,-0.4325
299.86,-0.4237
300.00,-0.4146
